"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 20 03:01:48 UTC 2023","Sun Aug 20 03:01:52 UTC 2023","4017","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Sun Aug 20 05:15:09 UTC 2023","Sun Aug 20 05:15:18 UTC 2023","9169","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Sun Aug 20 05:30:12 UTC 2023","Sun Aug 20 05:30:16 UTC 2023","4671","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Sun Aug 20 03:58:52 UTC 2023","Sun Aug 20 03:58:55 UTC 2023","2796","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Aug 20 03:01:53 UTC 2023","Sun Aug 20 03:02:04 UTC 2023","11186","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Sun Aug 20 02:59:15 UTC 2023","Sun Aug 20 02:59:19 UTC 2023","3885","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"skipped","Sun Aug 20 06:35:25 UTC 2023","Sun Aug 20 06:35:25 UTC 2023","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Aug 20 03:58:05 UTC 2023","Sun Aug 20 03:58:07 UTC 2023","2191","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Sun Aug 20 04:49:29 UTC 2023","Sun Aug 20 04:49:30 UTC 2023","1568","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sun Aug 20 02:59:49 UTC 2023","Sun Aug 20 02:59:57 UTC 2023","7713","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Sun Aug 20 03:53:49 UTC 2023","Sun Aug 20 03:54:09 UTC 2023","19895","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"failed","Sun Aug 20 04:43:32 UTC 2023","Sun Aug 20 04:46:21 UTC 2023","168894","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Sun Aug 20 05:14:48 UTC 2023","Sun Aug 20 05:14:51 UTC 2023","3197","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Sun Aug 20 05:26:32 UTC 2023","Sun Aug 20 05:26:42 UTC 2023","9905","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sun Aug 20 03:05:12 UTC 2023","Sun Aug 20 03:05:32 UTC 2023","20539","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sun Aug 20 03:58:40 UTC 2023","Sun Aug 20 03:58:52 UTC 2023","11176","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Sun Aug 20 03:55:07 UTC 2023","Sun Aug 20 03:55:10 UTC 2023","2429","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Aug 20 05:26:45 UTC 2023","Sun Aug 20 05:26:49 UTC 2023","4327","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"skipped","Sun Aug 20 04:30:21 UTC 2023","Sun Aug 20 04:30:21 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Sun Aug 20 03:58:39 UTC 2023","Sun Aug 20 03:58:40 UTC 2023","1801","","6. Company Account","","","","6. Review Review Page",""
"passed","Sun Aug 20 04:01:16 UTC 2023","Sun Aug 20 04:02:02 UTC 2023","45927","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sun Aug 20 02:59:06 UTC 2023","Sun Aug 20 02:59:15 UTC 2023","9263","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Sun Aug 20 05:14:37 UTC 2023","Sun Aug 20 05:14:40 UTC 2023","2641","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Sun Aug 20 03:07:05 UTC 2023","Sun Aug 20 03:07:07 UTC 2023","2074","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Aug 20 05:14:34 UTC 2023","Sun Aug 20 05:14:37 UTC 2023","3177","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"skipped","Sun Aug 20 05:08:39 UTC 2023","Sun Aug 20 05:08:39 UTC 2023","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"skipped","Sun Aug 20 04:30:21 UTC 2023","Sun Aug 20 04:30:21 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Sun Aug 20 05:30:01 UTC 2023","Sun Aug 20 05:30:02 UTC 2023","683","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sun Aug 20 05:33:09 UTC 2023","Sun Aug 20 05:33:36 UTC 2023","26830","","21. Forgot password function","","","","2. Reset password",""
"passed","Sun Aug 20 05:29:34 UTC 2023","Sun Aug 20 05:29:56 UTC 2023","21447","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Sun Aug 20 05:26:09 UTC 2023","Sun Aug 20 05:26:32 UTC 2023","23197","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sun Aug 20 05:14:46 UTC 2023","Sun Aug 20 05:14:48 UTC 2023","2251","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Sun Aug 20 05:32:56 UTC 2023","Sun Aug 20 05:33:09 UTC 2023","13461","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sun Aug 20 04:49:23 UTC 2023","Sun Aug 20 04:49:29 UTC 2023","5883","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"skipped","Sun Aug 20 05:08:39 UTC 2023","Sun Aug 20 05:08:39 UTC 2023","1","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Aug 20 03:55:10 UTC 2023","Sun Aug 20 03:55:10 UTC 2023","723","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"broken","Sun Aug 20 06:35:25 UTC 2023","Sun Aug 20 06:35:25 UTC 2023","2","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Sun Aug 20 05:14:51 UTC 2023","Sun Aug 20 05:15:09 UTC 2023","17539","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"skipped","Sun Aug 20 04:30:21 UTC 2023","Sun Aug 20 04:30:21 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Sun Aug 20 03:57:57 UTC 2023","Sun Aug 20 03:58:05 UTC 2023","7807","","6. Company Account","","","","2. Create a Company Account",""
